ds;Humidity (%);Temperature (°C);External Temp(°C)
23/02/2024 12:24;61,2;25;30,94
23/02/2024 13:24;61,4;24;31
23/02/2024 14:24;61,1;23;31
23/02/2024 15:24;61,1;19;31
23/02/2024 16:24;61,3;18;31
23/02/2024 17:24;61,3;20;31,06
23/02/2024 18:24;60,8;22;31
23/02/2024 19:24;60,8;25;31
23/02/2024 20:24;61;23;31
23/02/2024 21:24;61,1;22;31
23/02/2024 22:24;60,7;6;31
23/02/2024 23:24;60,3;5;31
24/02/2024 00:24;60,3;4;31,06
24/02/2024 01:24;60,2;6;31,06
24/02/2024 02:24;60,3;1;31,06
24/02/2024 03:24;59,5;2;31,06
24/02/2024 04:24;59,7;4;31,06
24/02/2024 05:24;59,5;5;31,06
24/02/2024 06:24;59,7;4;31
24/02/2024 07:24;59,9;3;31,06
24/02/2024 08:24;60;2;31,06
24/02/2024 09:24;86;14;31,06
24/02/2024 10:24;86;13;31,06
24/02/2024 11:24;86;15;31,06
24/02/2024 12:24;86;17;31,06
24/02/2024 13:24;86;19;31,06
24/02/2024 14:24;86;15;31,06
24/02/2024 15:24;86;18;31,06
24/02/2024 16:24;86;14;31,06
24/02/2024 17:24;59,1;1;31,06
24/02/2024 18:24;59,2;6;31,06
24/02/2024 19:24;59,3;4;31,06
24/02/2024 20:24;35;28;31,06
24/02/2024 21:24;37;24;31,06
24/02/2024 22:24;38;26;31
24/02/2024 23:24;39;25;31,06
25/02/2024 00:24;40;23;31,06
25/02/2024 01:24;35;32;31,06
25/02/2024 02:24;36;34;31,06
25/02/2024 03:24;42;32;31,06
25/02/2024 04:24;40;33;31,13
25/02/2024 00:00;35;36;31,06
26/02/2024 07:40;25;28;31,13
26/02/2024 08:40;28;30;31,19
26/02/2024 09:40;20;34;31,19
26/02/2024 10:40;35;33;31,19
26/02/2024 11:40;40;32;31,19
26/02/2024 12:40;25;30;31,19
26/02/2024 13:40;36;31;31,19
26/02/2024 14:40;40;33;31,19
26/02/2024 15:40;35;36;31,19
26/02/2024 16:40;37;34;31,19
26/02/2024 17:40;38;30;31,19
26/02/2024 18:40;34;28;31,19
26/02/2024 19:40;35;24;31,19
26/02/2024 20:40;36;26;31,25
27/02/2024 07:40;29;25;31,25
27/02/2024 08:40;28;23;31,25
27/02/2024 09:40;35;32;31,31
27/02/2024 10:40;36;34;31,31
27/02/2024 11:40;35;32;31,38
27/02/2024 12:40;34;33;31,31
27/02/2024 13:40;37;36;31,38
27/02/2024 14:40;39;28;31,31
27/02/2024 15:40;38;30;31,31
27/02/2024 16:40;36;34;31,31
27/02/2024 17:40;37;33;31,31
27/02/2024 18:40;39;32;31,31
27/02/2024 19:40;40;30;31,31
27/02/2024 20:40;39;31;31,31
28/02/2024 07:40;41;33;31,31
28/02/2024 08:40;38;36;31,31
28/02/2024 09:40;36;34;31,31
28/02/2024 10:40;37;30;31,31
28/02/2024 11:40;35;28;31,25
28/02/2024 12:40;36;24;31,25
28/02/2024 13:40;29;26;31,31
28/02/2024 14:40;25;25;85
28/02/2024 15:40;38;23;27,56
28/02/2024 16:40;40;32;27,63
28/02/2024 17:40;40;34;33,63
28/02/2024 18:40;39;32;30,75
28/02/2024 19:40;38;33;29,81
28/02/2024 20:40;35;36;29,31
01/03/2024 07:40;34;28;29
01/03/2024 08:40;29;30;28,75
01/03/2024 09:40;33;34;28,69
01/03/2024 10:40;36;33;28,63
01/03/2024 11:40;40;32;28,56
01/03/2024 12:40;41;30;28,5
01/03/2024 13:40;35;31;28,5
01/03/2024 14:40;36;33;28,44
01/03/2024 15:40;38;36;28,44
01/03/2024 16:40;37;34;28,44
01/03/2024 17:40;39;30;28,44
01/03/2024 18:40;35;28;28,44
01/03/2024 19:40;36;24;28,44
01/03/2024 20:40;35;26;28,44
02/03/2024 07:40;34;25;28,5
27/02/2024 20:40;35;23;28,44
28/02/2024 07:40;40;32;28,5
28/02/2024 08:40;38;34;28,5
28/02/2024 09:40;36;32;28,5
28/02/2024 10:40;35;33;28,56
28/02/2024 11:40;34;36;28,56
28/02/2024 12:40;32;28;28,63
28/02/2024 13:40;35;30;28,63
28/02/2024 14:40;29;34;28,63
28/02/2024 15:40;33;33;28,69
28/02/2024 16:40;32;32;28,69
28/02/2024 17:40;31;30;28,69
28/02/2024 18:40;35;31;28,69
28/02/2024 19:40;39;33;28,69
28/02/2024 20:40;38;36;28,69
01/03/2024 07:40;36;34;28,69
01/03/2024 08:40;34;30;28,69
01/03/2024 09:40;35;28;28,69
01/03/2024 10:40;36;24;28,69
01/03/2024 11:40;34;26;28,69
01/03/2024 12:40;37;25;28,69
01/03/2024 13:40;36;23;28,75
01/03/2024 14:40;34;32;28,75
01/03/2024 15:40;35;34;28,75
01/03/2024 16:40;38;32;28,75
01/03/2024 17:40;40;33;28,81
01/03/2024 18:40;41;36;28,81
01/03/2024 19:40;29;28;28,88
01/03/2024 20:40;42;30;28,81
02/03/2024 07:40;43;34;28,81
02/03/2024 08:40;35;33;28,81
02/03/2024 09:40;36;32;28,81
02/03/2024 10:40;35;30;28,81
02/03/2024 11:40;33;31;28,88
02/03/2024 12:40;36;33;28,88
02/03/2024 13:40;35;36;28,94
02/03/2024 14:40;34;34;28,94
02/03/2024 15:40;38;30;28,94
02/03/2024 16:40;36;3;28,94
02/03/2024 17:40;38;2;28,88
02/03/2024 18:40;36;2;28,94
02/03/2024 19:40;35;1;28,94
02/03/2024 20:40;34;3;28,94
03/03/2024 07:15;33;6;28,94
03/03/2024 08:14;40;4;29
03/03/2024 09:14;36;5;28,94
03/03/2024 10:14;35;6;29
03/03/2024 11:14;38;1;29
03/03/2024 12:14;39;4;29
03/03/2024 13:14;40;0;29,06
03/03/2024 14:14;39;1;29,06
03/03/2024 15:14;38;2;29,06
03/03/2024 16:14;36;0;29,06
03/03/2024 17:14;34;5;29,13
03/03/2024 18:14;35;4;29,19
03/03/2024 19:14;36;3;29,19
03/03/2024 20:14;36;1;29,13
04/03/2024 07:14;34;2;29,19
04/03/2024 08:14;33;3;29,19
04/03/2024 09:14;35;0;29,19
04/03/2024 10:14;36;4;29,25
04/03/2024 11:14;37;5;29,25
04/03/2024 12:14;39;6;29,25
04/03/2024 13:14;40;7;29,25
04/03/2024 14:14;35;8;29,25
04/03/2024 15:14;38;4;29,31
04/03/2024 16:14;36;3;29,31
04/03/2024 17:14;37;2;26,75
04/03/2024 18:14;38;1;27,19
04/03/2024 19:14;36;0;27,5
04/03/2024 20:14;34;2;27,75
05/03/2024 07:42;35;1;27,94
05/03/2024 08:43;33;3;28,06
05/03/2024 09:43;29;5;28,19
05/03/2024 10:43;59,5;4;28,31
05/03/2024 11:43;59,6;2;28,38
05/03/2024 12:43;59,6;1;28,38
05/03/2024 13:44;59,6;6;28,44
05/03/2024 14:44;59,5;28;28,5
05/03/2024 15:44;59,6;24;28,56
05/03/2024 16:44;59,6;26;28,63
05/03/2024 17:44;59,7;25;28,69
05/03/2024 18:45;60,3;23;28,75
05/03/2024 19:45;59,5;32;28,81
05/03/2024 20:45;59,5;34;28,81
06/03/2024 07:45;59,6;32;28,88
06/03/2024 08:39;59,7;33;28,94
06/03/2024 09:34;59,7;36;28,94
06/03/2024 10:28;60,3;28;29
06/03/2024 11:22;60;30;29,06
06/03/2024 12:16;59,9;34;29,13
06/03/2024 13:10;59,7;33;29,13
06/03/2024 14:04;59,5;32;29,13
06/03/2024 14:59;59,4;30;29,19
06/03/2024 15:53;58,4;31;29,13
06/03/2024 16:47;58,5;33;29,19
06/03/2024 17:41;58,4;36;29,25
06/03/2024 18:35;58,7;34;29,25
06/03/2024 19:29;58,3;30;29,31
06/03/2024 20:23;58,1;29;29,38
07/03/2024 07:18;58,5;31;29,38
07/03/2024 08:12;58,4;40;29,44
07/03/2024 09:06;58;36;29,44
07/03/2024 10:00;58;28;29,5
07/03/2024 10:54;58;30;29,5
07/03/2024 11:48;58;34;29,5
07/03/2024 12:42;58,1;33;29,44
07/03/2024 13:37;58,6;32;29,44
07/03/2024 14:31;59,3;30;29,44
07/03/2024 15:25;78,2;31;29,5
07/03/2024 16:19;78,7;33;29,5
07/03/2024 17:13;80,2;36;29,56
07/03/2024 18:07;80,1;34;29,56
07/03/2024 19:02;78,9;30;29,63
07/03/2024 19:56;78;29;29,69
07/03/2024 20:50;75,4;31;29,69
08/03/2024 07:44;76,4;28;29,75
08/03/2024 08:44;76,2;34;29,81
08/03/2024 09:44;77;35;29,81
08/03/2024 10:44;77;6;29,88
08/03/2024 11:44;76,6;1;29,88
08/03/2024 12:44;76,2;4;29,88
08/03/2024 13:44;76,2;0;29,88
08/03/2024 14:44;76,8;1;29,81
08/03/2024 15:44;77,3;2;29,88
08/03/2024 16:44;76,8;0;29,88
08/03/2024 17:44;76,6;5;29,94
08/03/2024 18:44;76,5;4;29,94
08/03/2024 19:44;76,9;3;29,94
08/03/2024 20:44;76,2;1;30
09/03/2024 07:39;76,7;2;30
09/03/2024 08:39;76,4;3;30,06
09/03/2024 09:39;75,7;0;30,13
09/03/2024 10:39;77,3;4;30,13
